,sub_name,obj_name,sentence,probability
15,Greek,Athens,"Nikolaos Argyriou (Greek: Νικόλαος Αργυρίου) (born 4 April 1994 in Athens, Greece) is a Greek footballer who plays for Episkopi in the Football League, as a Defender.",0.8630666566032812
16,Elso Brito,Netherlands,Elso Brito (born 2 April 1994 in Rotterdam) is a Dutch professional footballer who currently plays as a left back for Excelsior in the Dutch Eredivisie.,0.9385518551752299
17,Guymon,United States of America,"Gordon Grice (born 1965, Guymon, Oklahoma) is an American nature writer and essayist.",0.9469900692183603
18,Gordon Grice,Guymon,"Gordon Grice (born 1965, Guymon, Oklahoma) is an American nature writer and essayist.",0.9148769863304594
19,Bhanushali,Indian cinema,"Deepak Bhanushali (born 6 September 1971, Mumbai, India) is an Indian film producer and line producer.",0.9198352639501014
21,Prishtina,Kosovo,"Gazmend Pula (born in Pristina, Yugoslavia) is a Kosovar-Albanian intellectual, human rights campaigner, and is Kosovar ambassador to Albania.",0.869942750258857
22,Tauragė,Wrestling at the Summer Olympics,"Mindaugas Ežerskis (born August 2, 1977 in Tauragė) is a three-time Olympic wrestler from Lithuania, who competed for the heavyweight division and wrestling coach.",0.9379862195147393
23,Arabic,Prime Minister of Jordan,"Zaid al-Rifai (Arabic: زيد الرفاعي‎) (born 27 November 1936 in Amman, Jordan) is a former Prime Minister of Jordan.",0.9229085542881766
24,Jacky Novi,French,"Jacques Novi (born 18 July 1946 in Bellegarde, Gard), most commonly called Jacky Novi is a French former professional football player.",0.9401433663194755
25,Mike Cope,United States of America,"Mike Cope (born May 8, 1962 in Pinellas Park, Florida) is a retired American stock car racing driver.",0.9345374100162837
26,Mikko Luoma,Finnish,"Mikko Luoma (born (1976-06-22) June 22, 1976 in Jyväskylä, Finland) is a Finnish professional ice hockey defenceman, currently playing with JYP Jyväskylä in the Finnish Liiga.",0.8746101158645712
27,Rainer Arnold,German,Rainer Arnold (born 21 June 1950 in Stuttgart) is a German politician and member of the SPD.,0.9580611483326134
28,Lindsey Durlacher,United States of America,"Lindsey Durlacher (September 14, 1974 – June 4, 2011) was an American Greco-Roman wrestler whose career highlight was a bronze medal at the 2006 FILA Wrestling World Championships at 121 pounds.",0.8887890529882728
29,Frank Swart,Boston,"Frank Swart (born in Boston, Massachusetts, USA) is a musician, composer & producer.",0.9006879815290708
30,Frank Swart,Boston,"Frank Swart (born in Boston, Massachusetts, USA) is a musician, composer & producer.",0.9238717690709074
32,Maria Christina of Austria,Medellín,"Danna Maria García Osuna (born February 4, 1978 in Medellín, Colombia) is an actress and model best known for her roles in telenovelas.",0.9060165941434828
33,Wolfsberg,Langenzersdorf,"Franz Novak (born 10 January 1913 in Wolfsberg, Carinthia – died 21 October 1983 in Langenzersdorf) was an Austrian SS-Hauptsturmführer.",0.9305472046711837
34,Gino Ferrer Callegari,Padua,"Gino Ferrer Callegari (born April 14, 1911 in Padua; died April 14, 1954 in Genoa of leukemia) was an Italian professional football player and coach.",0.9070242452705931
36,Fahad Usman,Karachi,"Fahad Usman (born September 2, 1976 in Karachi, Sindh, Pakistan) is a United Arab Emirates cricketer.",0.9213493619492612
37,Trbovlje,WBC Spartak Moscow Region,"Nika Barič (born September 2, 1992 in Trbovlje, Slovenia) is a Slovenian basketball player for the WBC Spartak Moscow Region.",0.9328299592864305
38,"Hackensack, New Jersey",San Francisco 49ers,"David Allan Fiore (born August 10, 1974 in Hackensack, New Jersey) is a former American football offensive lineman in the National Football League for the San Francisco 49ers and the Washington Redskins.",0.9396037452536291
39,Martha Beck,United States of America,"Martha Nibley Beck (born November 29, 1962) is an American sociologist, life coach, best-selling author, and speaker who specializes in helping individuals and groups achieve personal and professional goals.",0.8628742945753864
40,Danny Hart,Redcar,"Danny Hart (born 20 September 1991, Redcar, England) is an English downhill mountain biker who rides for Mondraker.",0.9121651797826651
41,"John Fisher, 1st Baron Fisher",Royal Navy,"Admiral of the Fleet John Arbuthnot ""Jacky"" Fisher, 1st Baron Fisher, GCB, OM, GCVO (25 January 1841 – 10 July 1920) was a British admiral known for his efforts at naval reform.",0.8981268707258525
42,Paramaribo,Netherlands,Kelvin Leerdam (Dutch pronunciation: [ˈkɛɫvɪn leːrˈdɑm]) (born 24 June 1990 in Paramaribo) is a Dutch footballer who currently plays as a right back or defensive midfielder for Vitesse and the Netherlands U21.,0.9185445919901973
44,Niklas Nordgren,Örnsköldsvik,"Niklas Nordgren (born June 28, 1979 in Örnsköldsvik, Sweden) is a Swedish professional ice hockey forward currently playing for Modo Hockey in the Swedish Hockey League (SHL).",0.9579526499119796
45,Lena Åkesson,Stockholm,"Lena Åkesson (born August 10, 1967 in Stockholm, Sweden) is a former world-class female professional boxer whose career took place in the late 1990s.",0.9619518185896319
46,Jeri Brown,Quebec,"Jeri Brown (born 1952 in Missouri) is an American living in Quebec Canada as a jazz singer, songwriter, and professor.",0.9463876630752313
49,Norbert Trieloff,Rostock,Norbert Trieloff (born 24 August 1957 in Rostock) is a German former football player.,0.951379498052715
50,Manzanares,Colombia,"Humberto de la Calle Lombana (born 14 July 1946 in Manzanares, Caldas) is a Colombian lawyer and politician.",0.937699314532769
51,Moncalieri,Football in Italy,"Carlo Pinsoglio (born 16 March 1990 in Moncalieri) is an Italian footballer who plays as a goalkeeper for Serie B club Modena, on loan from Juventus.",0.9304917478001502
52,Lozells,Birmingham,"Ashley Blake (born 1969 in Lozells, Birmingham, England) is a former television presenter and newsreader.",0.9095431363874197
53,Ashley Blake,Birmingham,"Ashley Blake (born 1969 in Lozells, Birmingham, England) is a former television presenter and newsreader.",0.9306989921060803
54,Guadalupe,Mexicans,"Alfonso Rodríguez Ochoa (born 30 January 1949 in Guadalupe, Nuevo León) is a Mexican politician affiliated to the Institutional Revolutionary Party.",0.8694068880444454
55,John Turton Randall,English,"Adrian John Randall (born 10 November 1968 in Amesbury, England) is an English former professional footballer.",0.927573287169011
56,Sofia Carson,United States of America,"Sofia Carson (born April 10, 1993 in Ft. Lauderdale, Florida) is an American songwriter, singer and actress.",0.9191158110952153
59,Ondřej Štěpánek,Czech,Ondřej Štěpánek (Czech pronunciation: [ˈondr̝ɛj ˈʃcɛpaːnɛk]) (born 28 November 1979 in Brandýs nad Labem) is a Czech slalom canoer who has competed since the mid-1990s.,0.9166773565471841
60,United States of America,Minnesota United FC,"Brent Kallman (born October 4, 1990 in Omaha, Nebraska) is an American soccer player who currently plays for Minnesota United FC in the North American Soccer League.",0.9107290722112452
61,Brent Kallman,Minnesota United FC,"Brent Kallman (born October 4, 1990 in Omaha, Nebraska) is an American soccer player who currently plays for Minnesota United FC in the North American Soccer League.",0.9677158075318604
62,Ben Labowitch,Western Australia,"Ben-Rachmiel Labowitch (born 1 July 1980 in Fremantle, Western Australia, Australia) is a retired New Zealand swimmer, who specialized in breaststroke events.",0.852953188743321
63,Ricardo Mijares,Mexico,"Ricardo Mijares (born June 14, 1988 in Gómez Palacio, Durango, Mexico) is a Mexican professional boxer in the Lightweight division and is the younger brother of former two-time World Champion, Cristian Mijares.",0.8933773172691497
64,Sorin Chifiriuc,Bucharest,"Sorin Chifiriuc (born 1950, Bucharest, Romania) is a rock, new wave and blues guitarist and vocalist.",0.8797422581212362
65,Mark Tribe,United States of America,"Mark Tribe (born 1966, San Francisco, CA) is an American artist.",0.9216599771415208
66,Cork,European Rugby Champions Cup,"Denis Hurley (born 15 July 1984 in Cork, Republic of Ireland) is an Irish rugby union player for Munster in the Pro 12 and the European Rugby Champions Cup.",0.8894721908102173
67,Patrick Cook,Buffalo,"Glen Patrick Cook (born September 8, 1959 in Buffalo, New York) is a former Major League Baseball pitcher who played for one season.",0.9144194651598224
68,Buffalo,Major League Baseball,"Glen Patrick Cook (born September 8, 1959 in Buffalo, New York) is a former Major League Baseball pitcher who played for one season.",0.8692459237656172
69,Brent Rowan,Waxahachie,"Brent Rowan (born May 28, 1956 in Waxahachie, Texas) is an American session musician and record producer who works primarily in country music.",0.9523440517769842
70,German,2006 Winter Olympics,Lutz Dombrowski (born 25 June 1959 in Zwickau) is a former German track and field athlete and Olympic champion.,0.9394252939877042
71,Newcastle,National Rugby League,"Michael Hodgson (born 5 November 1979 in Newcastle, New South Wales) was a professional rugby league player for the Canterbury Bulldogs in the Australian National Rugby League (NRL) competition.",0.9231353863011413
73,Republican Party,United States House of Representatives,is a 2010 novel written by Edward Klein and former Republican United States Representative John LeBoutillier.,0.8558023509905281
74,Peter Stampfel,Milwaukee,"Peter Stampfel (born October 29, 1938 in Milwaukee, Wisconsin) is an American fiddle player, violinist and singer-songwriter.",0.9595658096477239
75,Milwaukee,American fiddle,"Peter Stampfel (born October 29, 1938 in Milwaukee, Wisconsin) is an American fiddle player, violinist and singer-songwriter.",0.896268544740873
76,England,Hull F.C.,Joe Arundel (born 22 August 1991 in Yorkshire) is an English professional rugby league footballer for Hull FC in the Super League.,0.9186434982453284
77,Wally Johannson,Manitoba,"Thorkell Wallace (Wally) Johannson (born April 10, 1936 in Arborg, Manitoba) is a politician in Manitoba, Canada.",0.9247637087594028
78,Normanton,English,"Jamie Langley (born 21 November 1983 in Normanton, West Yorkshire) is an English professional rugby league footballer with the Sheffield Eagles.",0.8929782060517459
79,Puerto Rico,United States national beach soccer team,"Yuri Morales (born September 30, 1981 in San Juan, Puerto Rico) is a Puerto Rican footballer who plays for the United States national beach soccer team.",0.904496087796714
80,Helsinki,Evangelical Lutheran Mission Diocese of Finland,"Risto Matti Soramies (born December 13, 1946 in Helsinki, Finland) is the first bishop of the Evangelical Lutheran Mission Diocese of Finland since May 4, 2013.",0.9268807433850562
81,Toruń,Individual Speedway Junior World Championship,"Adrian Miedziński (born 20 August 1985 in Toruń, Poland) is a Polish motorcycle speedway rider has won Team Under-21 World Champion and Individual Under-21 Polish Champion titles.",0.9339749963321567
82,Zsolt Szilágyi,Hungarian People's Party of Transylvania,"Zsolt Szilágyi (Hungarian pronunciation: [ˈʒolt ˈsilaːɟi]; born July 29, 1968 in Oradea) is a Romanian politician, member of the Hungarian People's Party of Transylvania.",0.9007996274067288
83,Perry Pearn,Canada,"Perry Pearn (born June 6, 1951 in Stettler, Alberta) is a Canadian ice hockey assistant coach for the National Hockey League's Vancouver Canucks.",0.9636788581892112
84,Dublin,European Rugby Champions Cup,Shane Jennings (born 8 July 1981 in Dublin) is an Irish rugby union player for Leinster Rugby in the Pro12 and Rugby Champions Cup who plays as an openside flanker.,0.9495493918671782
85,Ingrid Lieten,Flemings,"Ingrid Lieten (born 20 April 1964, Hasselt) is a Flemish politician and currently Minister for Innovation, Public Investment, Media and Poverty Reduction in the Flemish Government for the Socialist Party – Different.",0.9487141222813839
86,Paul Nicholas,Croydon,Paul Nicholas Denny (born 5 September 1957 in Croydon) is a retired English footballer who played in the Football League for Southend United and Wimbledon as a midfielder.,0.9568435966948866
87,Géza Fazakas,Soproni VSE,Géza Fazakas (born 18 January 1990 in Budapest) is a Hungarian football player who currently plays for Soproni VSE.,0.9215888459808822
88,France,Celtic F.C.,"Stephane Bonnes (born February 26, 1978 in Mulhouse, France) is a former footballer who played for Mulhouse F.C, Celtic, Partick Thistle and Saint-Louis-Neuweg.",0.9442841998871147
89,Robbie Dennison,Banbridge,"Robert ""Robbie"" Dennison (born April 30, 1963 in Banbridge) is a Northern Irish former professional footballer, who spent the majority of his career at Wolverhampton Wanderers.",0.9470287815318087
90,Dimitris Giannoulis,Pierikos F.C.,"Dimitris Giannoulis (Greek: Δημήτρης Γιαννούλης), born 17 October 1996 in Katerini, is a Greek professional footballer who plays for Pierikos F.C. on loan from PAOK FC as a midfielder.",0.9345275176803839
91,Chuck Hulse,Anaheim,"Chuck Hulse (born October 3, 1927, Anaheim, California) is a retired American racecar driver.",0.9302392214397518
92,Daniel Klewer,F.C. Hansa Rostock,"Daniel Klewer (born 4 March 1977 in Rostock, East Germany) is a German former footballer.",0.8955719934469576
93,Mark Coogan,Manhasset,"Mark Coogan (born May 1, 1966 in Manhasset, New York) is a coach and retired American track athlete.",0.9051426051524833
94,Manhasset,United States of America,"Mark Coogan (born May 1, 1966 in Manhasset, New York) is a coach and retired American track athlete.",0.9296879617796372
95,Robert McNeill,Glasgow,"Robert McNeill (born c. 1868 in Glasgow, Scotland died 19??)",0.9554617417439777
96,Robert McNeill,Glasgow,"Robert McNeill (born c. 1868 in Glasgow, Scotland died 19??)",0.8901381498573502
97,Brendan Augustine,East London,Brendan Augustine (born 26 November 1971 in East London) is a South African former football player.,0.9094882473869859
98,Chicago,Playboy,"Patti Reynolds (born May 28, 1948 in Chicago, Illinois) is an American model and actress who was Playboy magazine's Playmate of the Month for its September 1965 issue (at the age of 17).",0.9202131952836545
99,Patti Reynolds,Chicago,"Patti Reynolds (born May 28, 1948 in Chicago, Illinois) is an American model and actress who was Playboy magazine's Playmate of the Month for its September 1965 issue (at the age of 17).",0.9605285615581303
100,Rotherham United F.C.,West Riding of Yorkshire,"Dean Andrews (born 6 August 1963 in Rotherham, West Riding of Yorkshire) is a British actor.",0.8793958939497962
102,"Hockley, West Midlands",Birmingham,"Hockley is a central inner-city district in the city of Birmingham, England.",0.8732165770497562
104,Patric Della Rossa,EHC Olten,"Patric Della Rossa (born July 28, 1975 in Winterthur, Switzerland) is a Swiss ice hockey player who currently plays for EHC Olten of the National League B (NLB).",0.9591013634368221
105,Luciano Chessa,Sassari,"Luciano Chessa (born 1971, Sassari, Italy) is a composer, performer, and musicologist.",0.8915169476451814
106,Chingola,Zambia,Felix Mumba Sunzu (born 2 May 1989 in Chingola) is a Zambian football striker who currently plays for Simba in Tanzania.,0.898419697600354
107,Avignon,F.C. Sochaux-Montbéliard,"Teddy Richert (born 21 September 1974 in Avignon) is a former French football goalkeeper, that spent the most of his career in Sochaux-Montbéliard.",0.94922544688269
108,Samuel Friedrich Brenz,antisemitism,"Samuel Friedrich Brenz (born in Osterburg, Bavaria, in the latter half of the sixteenth century; date and place of death unknown) was an anti-Jewish writer.",0.8806110378457261
110,Rolf Graf,Randi Hansen,"Rolf Graf (born 28 April 1960 in Oslo, Norway – deceased 1 July 2013 in Oslo) was a Norwegian singer, bass guitarist, composer and record producer, and the younger brother of keyboardist Haakon Graf (b. 21 March 1955) and the jazz singer Randi Elisabeth Graf (b. 12 September 1966).",0.8642739005192062
111,Cape Town,South Africa national cricket team,"Ryan Canning (born 22 February 1984 in Cape Town) is a South African cricketer, a Western Cape Province wicket-keeper batsman.",0.9220368312708014
112,Matthew Friedberger,Oak Park,"Matthew Friedberger (born October 21, 1972 in Oak Park, Illinois) is half of the indie rock duo The Fiery Furnaces.",0.9248405571037152
113,Sergio Mariotti,Italian,"Sergio Mariotti (born August 10, 1946 in Florence) is an Italian Grandmaster of chess and former national champion.",0.9590545975912393
