,sub_name,obj_name,sentence
560,,,"John Richardson Selwyn (20 May 1844 – 12 February 1898) was an Anglican priest who became the second Bishop of Melanesia and then the second Master of Selwyn College, Cambridge."
52663,,,"Donald George Fisher (September 3, 1928 – September 27, 2009) was an American businessman and philanthropist."
98731,,,"Both women were born in Aldershot, England, in 1936."
34248,,,"John Wheeler Leavitt (1790–1870) was a prominent New York City businessman, founder of J. W. & R. Leavitt Company, eventually declared insolvent, and grandfather of American society portrait painter Cecilia Beaux, who frequently painted members of the family."
7573,,,"Coronations in Norway were held from 1164 to 1906, mostly in the Nidaros Cathedral in Trondheim."
55389,,,"George Walton Lucas, Jr. (born May 14, 1944) is an American film director, screenwriter, producer, and entrepreneur."
110972,,,Edward Hilliard (3 April 1851 – 18 September 1936) was a Seventh-day Adventist (SDA) missionary from America who worked in the South Pacific and then Australia.
60433,,,"The Osborne family are a fictional family in the long-running Channel 4 soap opera, Hollyoaks."
36762,,,Ben O'Connor (born 25 January 1979) was an Irish hurler who played as a right wing-forward for the Cork senior team.
95416,,,"Donata Melina Nicolette ""Dina"" Lohan (/ˈloʊ.ən/; née Sullivan; born September 15, 1962) is an American television personality and occasional actress who rose to fame as the mother and manager of actress and pop singer Lindsay Lohan and the fashion model Ali Lohan."
